gnss_lat,gnss_lon,GPS ALTITUDE (m),true_velocity_kmh,GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,timestamp,DATE (YYYY-MO-DD HH-MI-SS_SSS),acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_z,gyro_x,gyro_y,MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Yaw) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),true_velocity,gnss_status,true_lat,true_lon
52.40249238655462,-1.5009977142857143,144.44,,3.0,206.67,18 / 22,107427,2019-09-07 09:15:12:706,-4.8292,0.6283,10.8335,-0.0132,0.0054,9.8066,0.031,-0.594,0.0506,-2.56,-32.69,29.19,33.7,-84.34,-144.08,7.235042016806723,1.0,52.40249238655462,-1.5009977142857143
52.40249177310924,-1.5009994285714285,144.44,,3.0,206.67,18 / 22,107527,2019-09-07 09:15:12:806,-4.6433,0.5319,10.0998,0.0107,-0.007,9.8066,-0.0964,-0.6638,0.049,-2.19,-33.19,27.69,34.28,-84.47,-145.42,7.230084033613446,1.0,52.40249177310924,-1.5009994285714285
52.40249115966387,-1.5010011428571428,144.44,,3.0,206.67,18 / 22,107627,2019-09-07 09:15:12:906,-4.2491,0.4389,9.3788,0.009,-0.0025,9.8066,-0.0407,-0.6549,0.046,-1.56,-32.75,27.38,33.62,-84.62,-145.9,7.225126050420168,1.0,52.40249115966387,-1.5010011428571428
52.40249054621849,-1.501002857142857,144.44,,3.0,206.67,18 / 22,107727,2019-09-07 09:15:13:006,-4.5719,0.7097,9.5562,-0.0037,0.0129,9.8066,-0.0382,-0.6623,0.0904,-0.75,-33.37,26.31,36.42,-84.56,-145.6,7.220168067226891,1.0,52.40249054621849,-1.501002857142857
52.40248993277311,-1.5010045714285714,144.44,,3.0,206.67,18 / 22,107828,2019-09-07 09:15:13:107,-4.5454,1.6276,9.4687,-0.0011,-0.0044,9.8065,-0.1204,-0.6261,0.0265,0.06,-34.06,24.44,40.23,-84.5,-144.94,7.215210084033614,1.0,52.40248993277311,-1.5010045714285714
52.40248931932773,-1.5010062857142856,144.44,,3.0,206.67,18 / 22,107927,2019-09-07 09:15:13:206,-4.9328,0.3018,9.6194,0.0007,0.0002,9.8066,0.0215,-0.6425,0.0392,0.63,-33.37,24.75,41.22,-84.58,-145.92,7.210252100840337,1.0,52.40248931932773,-1.5010062857142856
52.402488705882355,-1.501008,144.44,,3.0,206.67,18 / 22,108027,2019-09-07 09:15:13:306,-4.9592,0.5208,10.2473,0.001,-0.0089,9.8066,0.022,-0.6435,0.0427,0.88,-34.44,22.75,41.32,-84.56,-146.62,7.205294117647059,1.0,52.402488705882355,-1.501008
52.402488092436975,-1.5010097142857144,144.44,,3.0,206.67,18 / 21,108128,2019-09-07 09:15:13:407,-4.8359,1.3691,9.1067,0.0148,-0.0084,9.8066,-0.0945,-0.6353,-0.0106,1.56,-33.69,22.0,44.13,-84.67,-146.92,7.2003361344537815,1.0,52.402488092436975,-1.5010097142857144
52.402487478991596,-1.5010114285714287,144.44,,3.0,206.67,18 / 21,108227,2019-09-07 09:15:13:506,-4.4501,1.6199,8.8862,0.0076,0.0189,9.8066,-0.116,-0.6383,0.0376,2.5,-34.19,20.19,45.64,-84.9,-149.15,7.195378151260504,1.0,52.402487478991596,-1.5010114285714287
52.402486865546216,-1.501013142857143,144.44,,3.0,206.67,18 / 21,108327,2019-09-07 09:15:13:606,-4.0729,2.259,9.877,0.0062,0.0176,9.8066,0.0325,-0.6437,0.0612,3.0,-34.37,18.69,46.73,-84.98,-148.83,7.190420168067227,1.0,52.402486865546216,-1.501013142857143
52.40248625210084,-1.5010148571428572,144.44,,3.0,206.67,18 / 21,108428,2019-09-07 09:15:13:707,-4.9319,2.0419,10.1131,0.0138,-0.0045,9.8066,0.0609,-0.6395,0.0088,3.38,-34.19,18.0,48.02,-85.07,-148.4,7.18546218487395,1.0,52.40248625210084,-1.5010148571428572
52.40248563865546,-1.5010165714285715,144.44,,3.0,206.67,18 / 21,108527,2019-09-07 09:15:13:806,-4.5334,1.9691,9.9964,0.0065,-0.0114,9.8066,-0.0913,-0.6343,0.0488,3.13,-34.44,16.88,47.44,-85.23,-149.61,7.180504201680672,1.0,52.40248563865546,-1.5010165714285715
52.40248502521008,-1.5010182857142857,144.44,,3.0,206.67,18 / 21,108627,2019-09-07 09:15:13:906,-4.5023,2.0972,9.5792,-0.0097,-0.0037,9.8066,-0.0683,-0.6705,0.0893,3.5,-34.25,15.38,51.03,-85.21,-152.18,7.175546218487395,1.0,52.40248502521008,-1.5010182857142857
52.4024844117647,-1.50102,144.44,,3.0,206.67,18 / 21,108728,2019-09-07 09:15:14:007,-3.9355,2.2752,9.784,-0.0098,-0.0059,9.8066,-0.0061,-0.6569,0.0713,3.13,-34.31,14.19,48.89,-85.0,-152.31,7.170588235294118,1.0,52.4024844117647,-1.50102
52.40248379831933,-1.5010217142857143,144.44,,3.0,206.67,18 / 21,108827,2019-09-07 09:15:14:106,-4.3301,2.0507,10.3027,0.009,0.007,9.8066,-0.0232,-0.6168,-0.0141,3.06,-34.56,12.88,51.96,-84.89,-151.78,7.165630252100841,1.0,52.40248379831933,-1.5010217142857143
52.40248318487395,-1.5010234285714286,144.44,,3.0,206.67,18 / 21,108928,2019-09-07 09:15:14:207,-4.637,2.5841,10.2459,0.0121,0.0044,9.8066,-0.0522,-0.6654,0.0354,3.5,-35.06,11.81,57.52,-85.02,-152.74,7.160672268907563,1.0,52.40248318487395,-1.5010234285714286
52.40248257142857,-1.5010251428571428,144.44,,3.0,206.67,18 / 21,109027,2019-09-07 09:15:14:306,-5.2085,3.2775,10.1442,-0.0105,-0.0115,9.8066,-0.044,-0.7331,0.1182,2.81,-34.62,10.5,56.07,-85.06,-151.99,7.155714285714286,1.0,52.40248257142857,-1.5010251428571428
52.40248195798319,-1.501026857142857,144.44,,3.0,206.67,20 / 23,109127,2019-09-07 09:15:14:406,-2.9829,3.1876,9.7033,0.006,-0.0048,9.8066,0.0528,-0.5925,0.0813,2.69,-34.62,9.0,60.95,-85.09,-153.65,7.150756302521009,1.0,52.40248195798319,-1.501026857142857
52.40248134453781,-1.5010285714285714,144.44,,3.0,206.67,20 / 23,109227,2019-09-07 09:15:14:506,-4.2904,1.6912,9.7223,-0.019,-0.0103,9.8066,0.1204,-0.585,0.0712,1.69,-34.62,8.0,61.88,-84.84,-151.99,7.1457983193277315,1.0,52.40248134453781,-1.5010285714285714
52.40248073109244,-1.5010302857142857,144.44,,3.0,206.67,20 / 23,109327,2019-09-07 09:15:14:606,-2.4946,3.4313,10.2526,0.0047,-0.0135,9.8066,-0.0939,-0.6545,0.1153,1.63,-35.31,7.13,67.78,-84.88,-151.74,7.140840336134454,1.0,52.40248073109244,-1.5010302857142857
52.40248011764706,-1.501032,144.44,,3.0,206.67,20 / 23,109427,2019-09-07 09:15:14:706,-2.6518,5.36,9.9878,-0.0025,0.0093,9.8066,-0.0949,-0.6843,0.1304,1.63,-35.69,5.63,77.42,-84.95,-150.48,7.135882352941176,1.0,52.40248011764706,-1.501032
52.40247950420168,-1.5010337142857142,144.44,,3.0,206.67,20 / 23,109527,2019-09-07 09:15:14:806,-1.924,4.459,9.8842,-0.0022,0.0103,9.8066,-0.0187,-0.6568,0.0461,0.56,-36.06,3.88,93.94,-84.96,-150.29,7.130924369747899,1.0,52.40247950420168,-1.5010337142857142
52.4024788907563,-1.5010354285714287,144.44,,3.0,206.67,20 / 23,109627,2019-09-07 09:15:14:906,0.415,5.0684,10.2128,-0.0044,0.0095,9.8065,-0.0219,-0.5895,0.0345,0.25,-36.44,3.31,112.84,-84.88,-149.15,7.125966386554622,1.0,52.4024788907563,-1.5010354285714287
52.40247827731093,-1.501037142857143,144.44,,3.0,206.67,20 / 23,109728,2019-09-07 09:15:15:007,1.3741,3.9606,9.7991,-0.0063,0.008,9.8066,-0.0771,-0.6452,0.0791,-0.31,-36.94,2.38,147.71,-84.78,-148.02,7.121008403361345,1.0,52.40247827731093,-1.501037142857143
52.40247766386555,-1.5010388571428572,144.44,,3.0,206.67,20 / 23,109827,2019-09-07 09:15:15:106,4.255,2.1972,9.8562,0.0079,0.0019,9.8066,-0.0962,-0.6148,0.0771,-0.69,-37.19,1.13,187.88,-84.65,-146.68,7.116050420168068,1.0,52.40247766386555,-1.5010388571428572
52.40247705042017,-1.5010405714285715,144.44,,3.0,206.67,20 / 23,109927,2019-09-07 09:15:15:206,4.8171,-1.333,9.4697,-0.0032,0.0077,9.8066,0.0149,-0.6246,0.0616,-1.87,-37.44,1.56,216.34,-84.54,-146.36,7.11109243697479,1.0,52.40247705042017,-1.5010405714285715
52.40247643697479,-1.5010422857142858,144.44,,3.0,206.67,20 / 23,110027,2019-09-07 09:15:15:306,4.3648,-2.2312,10.2555,0.0146,-0.0025,9.8065,0.0223,-0.6552,0.123,-2.62,-37.81,0.63,239.24,-84.51,-146.96,7.106134453781513,1.0,52.40247643697479,-1.5010422857142858
52.402475823529414,-1.501044,144.44,,3.0,206.67,20 / 23,110127,2019-09-07 09:15:15:406,4.6743,-2.0748,9.887,-0.0142,0.0019,9.8066,-0.0753,-0.6489,0.1337,-3.25,-36.5,0.0,234.02,-84.5,-146.99,7.101176470588236,1.0,52.402475823529414,-1.501044
52.402475210084035,-1.5010457142857143,144.44,,3.0,206.67,18 / 22,110227,2019-09-07 09:15:15:506,3.063,-1.6581,9.7276,-0.0088,-0.0012,9.8065,-0.0223,-0.5877,0.0165,-4.62,-36.69,-0.56,250.76,-84.53,-147.03,7.0962184873949585,1.0,52.402475210084035,-1.5010457142857143
52.402474596638655,-1.5010474285714286,144.44,,3.0,206.67,18 / 22,110327,2019-09-07 09:15:15:606,3.2606,-2.8232,9.7921,0.0011,-0.0088,9.8065,-0.1018,-0.6487,0.0642,-5.37,-36.5,-1.44,253.09,-84.59,-145.93,7.0912605042016805,1.0,52.402474596638655,-1.5010474285714286
52.402473983193275,-1.5010491428571429,144.44,,3.0,206.67,18 / 22,110427,2019-09-07 09:15:15:706,3.5199,-2.7617,9.6751,-0.0102,-0.0101,9.8066,-0.1197,-0.618,0.012,-6.0,-35.94,-2.19,255.3,-84.61,-145.08,7.086302521008403,1.0,52.402473983193275,-1.5010491428571429
52.4024733697479,-1.5010508571428571,144.44,,3.0,206.67,18 / 22,110527,2019-09-07 09:15:15:806,3.4567,-4.0956,9.9483,-0.0131,0.0009,9.8066,-0.0379,-0.657,0.0482,-7.56,-35.94,-2.87,261.89,-84.82,-145.35,7.081344537815126,1.0,52.4024733697479,-1.5010508571428571
52.40247275630252,-1.5010525714285714,144.44,,3.0,206.67,18 / 22,110627,2019-09-07 09:15:15:906,2.8696,-3.2808,9.2223,-0.0026,-0.0039,9.8066,-0.0021,-0.6422,0.0469,-7.75,-35.06,-3.44,262.75,-84.84,-145.19,7.076386554621849,1.0,52.40247275630252,-1.5010525714285714
52.40247214285714,-1.5010542857142857,144.44,,3.0,206.67,18 / 22,110727,2019-09-07 09:15:16:006,2.135,-3.7468,9.9289,-0.006,-0.0104,9.8066,-0.0414,-0.6119,0.057,-9.31,-34.5,-3.87,264.09,-84.89,-144.09,7.071428571428572,1.0,52.40247214285714,-1.5010542857142857
52.40247152941176,-1.501056,144.44,,3.0,206.67,18 / 22,110827,2019-09-07 09:15:16:106,1.8984,-3.2971,9.8449,-0.0141,0.0067,9.8066,-0.0814,-0.6102,0.0301,-10.0,-34.75,-4.37,267.29,-84.97,-144.31,7.066470588235294,1.0,52.40247152941176,-1.501056
52.40247091596638,-1.5010577142857142,144.44,,3.0,206.67,18 / 22,110928,2019-09-07 09:15:16:207,2.1653,-3.6486,10.1118,-0.0023,-0.011,9.8066,-0.0466,-0.6539,0.0092,-11.5,-34.75,-5.06,267.38,-85.1,-143.81,7.061512605042017,1.0,52.40247091596638,-1.5010577142857142
52.40247030252101,-1.5010594285714285,144.44,,3.0,206.67,18 / 22,111027,2019-09-07 09:15:16:306,1.4055,-4.117,9.9368,-0.006,0.0005,9.8066,-0.0831,-0.6439,-0.0034,-12.87,-34.81,-5.94,270.21,-85.14,-143.01,7.05655462184874,1.0,52.40247030252101,-1.5010594285714285
52.40246968907563,-1.501061142857143,144.44,,3.0,206.67,18 / 21,111127,2019-09-07 09:15:16:406,3.5789,-3.604,9.7712,-0.0044,0.0005,9.8066,-0.155,-0.5469,-0.0259,-13.31,-35.37,-6.19,270.3,-85.21,-143.1,7.051596638655463,1.0,52.40246968907563,-1.501061142857143
52.40246907563025,-1.5010628571428573,144.44,,3.0,206.67,18 / 21,111227,2019-09-07 09:15:16:506,0.892,-3.6296,9.4291,-0.0049,-0.002,9.8066,-0.1591,-0.6253,0.0622,-14.25,-35.56,-6.44,272.17,-85.3,-143.43,7.046638655462185,1.0,52.40246907563025,-1.5010628571428573
52.40246846218487,-1.5010645714285715,144.44,,3.0,206.67,18 / 21,111327,2019-09-07 09:15:16:606,2.3379,-4.8453,9.6403,-0.0089,-0.0103,9.8066,0.0428,-0.6342,0.1098,-16.12,-34.06,-5.87,278.36,-85.53,-142.22,7.041680672268908,1.0,52.40246846218487,-1.5010645714285715
52.4024678487395,-1.5010662857142858,144.44,,3.0,206.67,18 / 21,111427,2019-09-07 09:15:16:706,0.4094,-3.0955,9.595,-0.029,0.0033,9.8066,-0.0077,-0.5606,0.0389,-16.75,-33.87,-5.62,281.42,-85.8,-141.31,7.0367226890756305,1.0,52.4024678487395,-1.5010662857142858
52.40246723529412,-1.501068,144.44,,3.0,206.67,18 / 21,111527,2019-09-07 09:15:16:806,1.6623,-3.2514,9.1494,-0.029,-0.0174,9.8065,0.021,-0.7702,0.1112,-17.56,-34.06,-6.62,283.86,-86.04,-138.07,7.031764705882353,1.0,52.40246723529412,-1.501068
52.40246662184874,-1.5010697142857143,144.44,,3.0,206.67,18 / 21,111627,2019-09-07 09:15:16:906,3.1153,-4.9635,9.8851,0.0093,-0.0058,9.8066,0.0177,-0.7082,0.0369,-19.19,-34.25,-5.75,288.01,-85.92,-137.78,7.026806722689076,1.0,52.40246662184874,-1.5010697142857143
52.40246600840336,-1.5010714285714286,144.44,,3.0,206.67,18 / 21,111727,2019-09-07 09:15:17:006,1.8147,-3.7885,10.2313,-0.0055,-0.0037,9.8066,-0.0824,-0.6732,0.022,-20.12,-34.25,-6.12,289.13,-85.9,-137.81,7.021848739495798,1.0,52.40246600840336,-1.5010714285714286
52.402465394957986,-1.5010731428571429,144.44,,3.0,206.67,18 / 21,111827,2019-09-07 09:15:17:106,0.757,-4.2402,9.8961,0.008,-0.0023,9.8066,-0.0793,-0.6776,0.0005,-21.44,-33.94,-5.37,293.04,-85.82,-137.43,7.016890756302521,1.0,52.402465394957986,-1.5010731428571429
52.402464781512606,-1.5010748571428572,144.44,,3.0,206.67,18 / 21,111927,2019-09-07 09:15:17:206,0.8327,-4.0306,9.4007,-0.0004,-0.0113,9.8066,-0.0252,-0.6816,0.0705,-22.31,-33.44,-4.19,297.72,-85.75,-136.34,7.011932773109244,1.0,52.402464781512606,-1.5010748571428572
52.402464168067226,-1.5010765714285714,144.44,,3.0,206.67,18 / 21,112028,2019-09-07 09:15:17:307,0.7459,-4.0375,9.5494,0.0031,-0.0023,9.8066,-0.0081,-0.6439,0.0445,-23.12,-33.87,-4.12,299.85,-85.77,-134.85,7.006974789915967,1.0,52.402464168067226,-1.5010765714285714
52.402463554621846,-1.5010782857142857,144.44,,3.0,206.67,18 / 21,112127,2019-09-07 09:15:17:406,0.79,-3.9991,10.2411,0.0011,-0.0031,9.8066,-0.0898,-0.6542,0.0601,-24.12,-32.75,-3.25,304.54,-85.74,-133.47,7.00201680672269,1.0,52.402463554621846,-1.5010782857142857
52.40246294117647,-1.50108,144.44,,3.0,206.67,18 / 21,112227,2019-09-07 09:15:17:506,1.0032,-4.2012,10.0263,-0.0044,0.0007,9.8066,-0.008,-0.6695,0.0304,-25.31,-33.19,-2.44,308.8,-85.8,-132.24,6.997058823529412,1.0,52.40246294117647,-1.50108
52.402462327731094,-1.5010817142857142,144.44,,3.0,206.67,18 / 21,112327,2019-09-07 09:15:17:606,0.5158,-4.3199,10.0748,-0.0224,-0.0062,9.8065,0.0677,-0.6552,0.0899,-25.5,-33.5,-1.81,308.47,-85.87,-132.62,6.992100840336135,1.0,52.402462327731094,-1.5010817142857142
52.402461714285714,-1.5010834285714285,144.44,,3.0,206.67,18 / 21,112427,2019-09-07 09:15:17:706,0.2477,-4.1292,9.6792,-0.0101,-0.0022,9.8066,0.0434,-0.5882,0.0106,-26.31,-32.75,-0.75,311.97,-85.84,-131.82,6.9871428571428575,1.0,52.402461714285714,-1.5010834285714285
